Wilaya,Commune,Zone_Sismique,Policy_Count,Total_Capital,Avg_Vulnerability,Risk_Weighted_Capital,Concentration_Pct
19 - SETIF,1172 - MEZLOUG,IIb,11,"27697320,0","0,4","11078928,0","0,009"
43 - MILA,870 - AHMED RACHDI,IIa,10,"27511750,0","0,3","8253525,0","0,009"
15 - TIZI OUZOU,1481 - ILOULA OUMALOU,IIa,16,"27459100,0","0,3","8237730,0","0,009"
25 - CONSTANTINE,511 - BEN BADIS CONSTANTINE,0,7,"27410000,0","0,2571428571428572","6952500,0","0,009"
3 - LAGHOUAT,748 - KSAR EL HIRANE,I,13,"27373000,0","0,2","5474600,0","0,009"
21 - SKIKDA,1240 - AIN BOUZIANE,IIa,10,"27101150,0","0,306","8190345,0","0,009"
15 - TIZI OUZOU,1500 - TIRMITINE,IIa,10,"27061090,0","0,3","8118327,0","0,009"
9 - BLIDA,355 - MEFTAH,III,11,"26656860,0","0,5545454545454546","17128430,0","0,009"
27 - MOSTAGANEM,910 - FORNAKA,I,4,"26170000,0","0,21000000000000002","5554000,0","0,009"
35 - BOUMERDES,452 - CHABET EL AMEUR,I,16,"26098500,0","0,21000000000000002","5683700,0","0,009"
21 - SKIKDA,1249 - BEN AZZOUZ,IIa,9,"25945000,0","0,3466666666666667","8716500,0","0,009"
26 - MEDEA,832 - EL OMARIA,IIb,8,"25532750,0","0,41000000000000003","10572748,0","0,009"
15 - TIZI OUZOU,1443 - AIN EL HAMMAM,IIa,8,"25065120,0","0,3","7519536,0","0,008"
11 - TAMENRASSET,1317 - TIN ZAOUATINE,III,4,"24360000,0","0,5","12180000,0","0,008"
39 - El Oued,595 - NAKHLA,I,4,"23908000,0","0,22999999999999998","5501600,0","0,008"
5 - BATNA,194 - INOUGHISSENE,IIa,12,"23837450,0","0,3","7151235,0","0,008"
25 - CONSTANTINE,512 - BENI HAMIDENE,0,12,"23759110,0","0,2916666666666667","6939777,5","0,008"
26 - MEDEA,822 - CHELLALAT EL ADHAOURA,IIb,8,"23573490,0","0,43","10269396,0","0,008"
6 - BEJAIA,286 - SEMAOUNE,IIb,17,"23485500,0","0,43764705882352944","10194200,0","0,008"
26 - MEDEA,869 - ZOUBIRIA,IIb,8,"23300000,0","0,47","10288000,0","0,008"
46 - AIN TIMOUCHENT,78 - EL MALAH,I,4,"23137940,0","0,23000000000000004","5947588,0","0,008"
28 - M SILA,943 - BERHOUM,0,16,"23000000,0","0,3","6900000,0","0,008"
43 - MILA,874 - AMIRA ARRES,IIa,13,"22435140,0","0,3","6730542,0","0,007"
10 - BOUIRA,398 - AHL EL KSAR,III,7,"22200000,0","0,5","11100000,0","0,007"
43 - MILA,890 - OULED KHELLOUF,IIa,5,"22028950,0","0,32399999999999995","6968685,0","0,007"
22 - SIDI BEL ABBES,1206 - LAMTAR,IIa,1,"22000000,0","0,36","7920000,0","0,007"
16 - ALGER,459 - KHEMIS EL KHECHNA,IIa,4,"21800000,0","0,32999999999999996","7140000,0","0,007"
21 - SKIKDA,1251 - BENI OULBANE,IIa,14,"21691840,0","0,31285714285714283","6687552,0","0,007"
10 - BOUIRA,427 - LAKHDARIA,III,7,"21595000,0","0,5285714285714286","11207500,0","0,007"
16 - ALGER,352 - GUERROUAOU,IIa,2,"21577388,0","0,3","6473216,399999999","0,007"
10 - BOUIRA,400 - AIN EL HADJAR BOUIRA,III,6,"21560000,0","0,5","10780000,0","0,007"
4 - OUM EL BOUAGHI,1068 - OULED HAMLA,IIa,9,"21500000,0","0,36","7740000,0","0,007"
19 - SETIF,1186 - TELLA,IIb,8,"21359500,0","0,4","8543800,0","0,007"
10 - BOUIRA,403 - AIT LAAZIZ,III,8,"21350000,0","0,5","10675000,0","0,007"
16 - ALGER,129 - EL MARSA ALGER,IIa,3,"21344000,0","0,3","6403200,0","0,007"
42 - TIPAZA,1413 - SIDI AMAR TIPAZA,IIb,16,"21244830,0","0,41000000000000003","8745932,0","0,007"
44 - AIN DEFLA,56 - MILIANA,IIa,2,"21225000,0","0,3","6367500,0","0,007"
31 - ORAN,1000 - ARZEW ORAN,IIa,5,"21168240,0","0,3","6350472,0","0,007"
10 - BOUIRA,433 - OULED RACHED,III,3,"21000000,0","0,6666666666666666","16400000,0","0,007"
29 - MASCARA,759 - AIN FARES MASCARA,I,9,"20679170,0","0,2","4135834,0","0,007"
44 - AIN DEFLA,43 - BOURACHED,IIa,8,"20620000,0","0,32999999999999996","6816000,0","0,007"
16 - ALGER,140 - OUED KORICHE,IIa,7,"20437100,0","0,3171428571428571","6641130,0","0,007"
44 - AIN DEFLA,41 - BORDJ EMIR KHALED,IIa,1,"20265000,0","0,3","6079500,0","0,007"
34 - B.B ARRERIDJ,367 - BIR KASDALI,IIa,10,"20136320,0","0,306","6160896,0","0,007"
28 - M SILA,964 - OUENOUGHA,0,4,"20100000,0","0,3","6030000,0","0,007"
16 - ALGER,354 - LARBAA BLIDA,IIa,4,"20095350,0","0,345","7198605,0","0,007"
13 - TLEMCEN,384 - MANSOURA,I,4,"19880000,0","0,2","3976000,0","0,007"
14 - TIARET,1367 - MELLAKOU,IIb,3,"19786000,0","0,4266666666666667","7994400,0","0,007"
12 - TEBESSA,1327 - EL AOUINET TEBESSA,III,9,"19771400,0","0,5111111111111111","10285700,0","0,007"
16 - ALGER,457 - HAMMEDI,IIa,5,"19728450,0","0,3","5918535,0","0,007"
6 - BEJAIA,275 - FERRAOUN,IIb,12,"19589500,0","0,41333333333333333","8075800,0","0,007"
2 - CHLEF,494 - OUED GHOUSSINE,IIb,5,"19570000,0","0,4","7828000,0","0,007"
15 - TIZI OUZOU,803 - TIZI,IIa,2,"19440000,0","0,32999999999999996","6053400,0","0,006"
9 - BLIDA,348 - CHIFFA,III,7,"19345020,0","0,5","9672510,0","0,006"
6 - BEJAIA,296 - TASKRIOUT,IIb,5,"19185670,0","0,41600000000000004","7754268,0","0,006"
34 - B.B ARRERIDJ,389 - RABTA,IIa,10,"19150000,0","0,348","6705000,0","0,006"
3 - LAGHOUAT,755 - SIDI MAKHLOUF,I,8,"19046400,0","0,2","3809280,0","0,006"
19 - SETIF,1133 - AIN LAHDJAR,IIb,6,"19040000,0","0,4000000000000001","7616000,0","0,006"
39 - El Oued,599 - REGUIBA,I,4,"19000000,0","0,24","4560000,0","0,006"
18 - JIJEL,712 - ZIAMA MANSOURIA JIJEL,IIa,7,"19000000,0","0,36","6840000,0","0,006"
14 - TIARET,1353 - DAHMOUNI,IIb,9,"18940000,0","0,48000000000000004","9091200,0","0,006"
16 - ALGER,112 - BOLOGHINE IBN ZIRI,IIa,8,"18825240,0","0,3075","5767572,0","0,006"
10 - BOUIRA,418 - EL HACHIMIA,III,12,"18716440,0","0,5416666666666666","9858220,0","0,006"
31 - ORAN,994 - AIN TURK,IIa,4,"18690000,0","0,3","5607000,0","0,006"
15 - TIZI OUZOU,1491 - OUACIF,IIa,7,"18019100,0","0,3","5405730,0","0,006"
16 - ALGER,638 - GHARDAIA,IIa,2,"18000000,0","0,3","5400000,0","0,006"
